"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6072","1. Authorization","firefox","Wed Nov 20 22:20:52 GMT 2024","passed","Wed Nov 20 22:20:58 GMT 2024","dev.topklik.online","all.test.js","",""
"","5049","1. Authorization","chromium","Wed Nov 20 22:19:13 GMT 2024","passed","Wed Nov 20 22:19:18 GMT 2024","dev.topklik.online","all.test.js","",""
"","6905","3. Switch ""P-shaped tabletop"" toggle","firefox","Wed Nov 20 22:21:12 GMT 2024","passed","Wed Nov 20 22:21:19 GMT 2024","dev.topklik.online","all.test.js","",""
"","4997","2. ""Hide tabletop"" test","chromium","Wed Nov 20 22:19:24 GMT 2024","passed","Wed Nov 20 22:19:29 GMT 2024","dev.topklik.online","all.test.js","",""
"","25641","4. E2E test","chromium","Wed Nov 20 22:20:17 GMT 2024","failed","Wed Nov 20 22:20:43 GMT 2024","dev.topklik.online","all.test.js","",""
"","6342","1. Authorization","webkit","Wed Nov 20 22:22:27 GMT 2024","passed","Wed Nov 20 22:22:33 GMT 2024","dev.topklik.online","all.test.js","",""
"","26733","4. E2E test","webkit","Wed Nov 20 22:23:13 GMT 2024","failed","Wed Nov 20 22:23:40 GMT 2024","dev.topklik.online","all.test.js","",""
"","6503","3. Switch ""P-shaped tabletop"" toggle","webkit","Wed Nov 20 22:22:34 GMT 2024","passed","Wed Nov 20 22:22:41 GMT 2024","dev.topklik.online","all.test.js","",""
"","10951","3. Switch ""P-shaped tabletop"" toggle","chromium","Wed Nov 20 22:19:40 GMT 2024","failed","Wed Nov 20 22:19:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","6469","2. ""Hide tabletop"" test","firefox","Wed Nov 20 22:21:04 GMT 2024","failed","Wed Nov 20 22:21:11 GMT 2024","dev.topklik.online","all.test.js","",""
"","32686","4. E2E test","firefox","Wed Nov 20 22:21:52 GMT 2024","failed","Wed Nov 20 22:22:25 GMT 2024","dev.topklik.online","all.test.js","",""
"","239","2. ""Hide tabletop"" test","webkit","Wed Nov 20 22:22:34 GMT 2024","skipped","Wed Nov 20 22:22:34 GMT 2024","dev.topklik.online","all.test.js","",""
