"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6450","1. Authorization","firefox","Thu Nov 21 00:17:07 GMT 2024","failed","Thu Nov 21 00:17:14 GMT 2024","dev.topklik.online","all.test.js","",""
"","8462","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 00:18:44 GMT 2024","passed","Thu Nov 21 00:18:52 GMT 2024","dev.topklik.online","all.test.js","",""
"","5903","1. Authorization","webkit","Thu Nov 21 00:18:24 GMT 2024","failed","Thu Nov 21 00:18:30 GMT 2024","dev.topklik.online","all.test.js","",""
"","4999","2. ""Hide tabletop"" test","chromium","Thu Nov 21 00:16:28 GMT 2024","passed","Thu Nov 21 00:16:33 GMT 2024","dev.topklik.online","all.test.js","",""
"","7181","2. ""Hide tabletop"" test","firefox","Thu Nov 21 00:17:23 GMT 2024","passed","Thu Nov 21 00:17:30 GMT 2024","dev.topklik.online","all.test.js","",""
"","9910","4. E2E test","chromium","Thu Nov 21 00:16:49 GMT 2024","failed","Thu Nov 21 00:16:59 GMT 2024","dev.topklik.online","all.test.js","",""
"","5809","2. ""Hide tabletop"" test","webkit","Thu Nov 21 00:18:37 GMT 2024","failed","Thu Nov 21 00:18:43 GMT 2024","dev.topklik.online","all.test.js","",""
"","6306","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 00:17:31 GMT 2024","passed","Thu Nov 21 00:17:37 GMT 2024","dev.topklik.online","all.test.js","",""
"","10690","4. E2E test","webkit","Thu Nov 21 00:19:10 GMT 2024","failed","Thu Nov 21 00:19:21 GMT 2024","dev.topklik.online","all.test.js","",""
"","5874","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 00:16:33 GMT 2024","passed","Thu Nov 21 00:16:39 GMT 2024","dev.topklik.online","all.test.js","",""
"","18657","4. E2E test","firefox","Thu Nov 21 00:17:55 GMT 2024","failed","Thu Nov 21 00:18:14 GMT 2024","dev.topklik.online","all.test.js","",""
"","6023","1. Authorization","chromium","Thu Nov 21 00:16:16 GMT 2024","passed","Thu Nov 21 00:16:22 GMT 2024","dev.topklik.online","all.test.js","",""
