"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8389","2. ""Hide tabletop"" test","chromium","Thu Nov 21 02:53:09 GMT 2024","passed","Thu Nov 21 02:53:18 GMT 2024","dev.topklik.online","all.test.js","",""
"","8253","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 02:53:09 GMT 2024","passed","Thu Nov 21 02:53:18 GMT 2024","dev.topklik.online","all.test.js","",""
"","11689","4. E2E test","chromium","Thu Nov 21 02:53:33 GMT 2024","failed","Thu Nov 21 02:53:45 GMT 2024","dev.topklik.online","all.test.js","",""
"","8090","1. Authorization","chromium","Thu Nov 21 02:53:09 GMT 2024","passed","Thu Nov 21 02:53:17 GMT 2024","dev.topklik.online","all.test.js","",""
