"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14552","4. E2E test","chromium","Thu Nov 21 00:43:12 GMT 2024","failed","Thu Nov 21 00:43:26 GMT 2024","dev.topklik.online","all.test.js","",""
"","14518","2. ""Hide tabletop"" test","chromium","Thu Nov 21 00:42:47 GMT 2024","failed","Thu Nov 21 00:43:01 GMT 2024","dev.topklik.online","all.test.js","",""
"","16627","1. Authorization","webkit","Thu Nov 21 00:42:55 GMT 2024","failed","Thu Nov 21 00:43:12 GMT 2024","dev.topklik.online","all.test.js","",""
"","16713","4. E2E test","webkit","Thu Nov 21 00:42:55 GMT 2024","failed","Thu Nov 21 00:43:11 GMT 2024","dev.topklik.online","all.test.js","",""
"","15888","1. Authorization","firefox","Thu Nov 21 00:42:59 GMT 2024","failed","Thu Nov 21 00:43:15 GMT 2024","dev.topklik.online","all.test.js","",""
"","16644","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 00:42:53 GMT 2024","failed","Thu Nov 21 00:43:10 GMT 2024","dev.topklik.online","all.test.js","",""
"","14373","1. Authorization","chromium","Thu Nov 21 00:42:47 GMT 2024","failed","Thu Nov 21 00:43:01 GMT 2024","dev.topklik.online","all.test.js","",""
"","14422","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 00:42:50 GMT 2024","failed","Thu Nov 21 00:43:05 GMT 2024","dev.topklik.online","all.test.js","",""
"","13611","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 00:42:29 GMT 2024","passed","Thu Nov 21 00:42:43 GMT 2024","dev.topklik.online","all.test.js","",""
"","15721","4. E2E test","firefox","Thu Nov 21 00:43:14 GMT 2024","failed","Thu Nov 21 00:43:30 GMT 2024","dev.topklik.online","all.test.js","",""
"","18079","2. ""Hide tabletop"" test","firefox","Thu Nov 21 00:42:54 GMT 2024","failed","Thu Nov 21 00:43:12 GMT 2024","dev.topklik.online","all.test.js","",""
"","16371","2. ""Hide tabletop"" test","webkit","Thu Nov 21 00:42:52 GMT 2024","failed","Thu Nov 21 00:43:09 GMT 2024","dev.topklik.online","all.test.js","",""
