"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13727","4. E2E test","chromium","Thu Nov 21 14:23:27 GMT 2024","failed","Thu Nov 21 14:23:40 GMT 2024","dev.topklik.online","all.test.js","",""
"","9373","1. Authorization","chromium","Thu Nov 21 14:22:20 GMT 2024","passed","Thu Nov 21 14:22:29 GMT 2024","dev.topklik.online","all.test.js","",""
"","10590","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 14:22:20 GMT 2024","passed","Thu Nov 21 14:22:31 GMT 2024","dev.topklik.online","all.test.js","",""
"","5717","2. ""Hide tabletop"" test","webkit","Thu Nov 21 14:23:27 GMT 2024","passed","Thu Nov 21 14:23:33 GMT 2024","dev.topklik.online","all.test.js","",""
"","6994","1. Authorization","webkit","Thu Nov 21 14:22:39 GMT 2024","passed","Thu Nov 21 14:22:46 GMT 2024","dev.topklik.online","all.test.js","",""
"","40016","2. ""Hide tabletop"" test","firefox","Thu Nov 21 14:23:54 GMT 2024","broken","Thu Nov 21 14:24:34 GMT 2024","dev.topklik.online","all.test.js","",""
"","5282","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 14:23:33 GMT 2024","passed","Thu Nov 21 14:23:39 GMT 2024","dev.topklik.online","all.test.js","",""
"","18587","4. E2E test","firefox","Thu Nov 21 14:23:30 GMT 2024","failed","Thu Nov 21 14:23:48 GMT 2024","dev.topklik.online","all.test.js","",""
"","6454","1. Authorization","firefox","Thu Nov 21 14:22:28 GMT 2024","passed","Thu Nov 21 14:22:34 GMT 2024","dev.topklik.online","all.test.js","",""
"","5528","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 14:22:32 GMT 2024","passed","Thu Nov 21 14:22:37 GMT 2024","dev.topklik.online","all.test.js","",""
"","15493","4. E2E test","webkit","Thu Nov 21 14:24:45 GMT 2024","failed","Thu Nov 21 14:25:00 GMT 2024","dev.topklik.online","all.test.js","",""
"","6845","2. ""Hide tabletop"" test","chromium","Thu Nov 21 14:22:20 GMT 2024","passed","Thu Nov 21 14:22:27 GMT 2024","dev.topklik.online","all.test.js","",""
