"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6356","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 14:03:50 GMT 2024","passed","Thu Nov 21 14:03:57 GMT 2024","dev.topklik.online","all.test.js","",""
"","7550","1. Authorization","firefox","Thu Nov 21 14:02:52 GMT 2024","passed","Thu Nov 21 14:03:00 GMT 2024","dev.topklik.online","all.test.js","",""
"","26423","4. E2E test","firefox","Thu Nov 21 14:04:10 GMT 2024","failed","Thu Nov 21 14:04:37 GMT 2024","dev.topklik.online","all.test.js","",""
"","10001","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 14:02:44 GMT 2024","passed","Thu Nov 21 14:02:54 GMT 2024","dev.topklik.online","all.test.js","",""
"","7661","2. ""Hide tabletop"" test","chromium","Thu Nov 21 14:02:44 GMT 2024","passed","Thu Nov 21 14:02:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","17855","4. E2E test","webkit","Thu Nov 21 14:05:15 GMT 2024","failed","Thu Nov 21 14:05:33 GMT 2024","dev.topklik.online","all.test.js","",""
"","10407","1. Authorization","chromium","Thu Nov 21 14:02:44 GMT 2024","passed","Thu Nov 21 14:02:54 GMT 2024","dev.topklik.online","all.test.js","",""
"","24644","4. E2E test","chromium","Thu Nov 21 14:03:33 GMT 2024","failed","Thu Nov 21 14:03:58 GMT 2024","dev.topklik.online","all.test.js","",""
"","5988","2. ""Hide tabletop"" test","firefox","Thu Nov 21 14:04:18 GMT 2024","passed","Thu Nov 21 14:04:24 GMT 2024","dev.topklik.online","all.test.js","",""
"","6277","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 14:05:12 GMT 2024","passed","Thu Nov 21 14:05:19 GMT 2024","dev.topklik.online","all.test.js","",""
"","8625","2. ""Hide tabletop"" test","webkit","Thu Nov 21 14:03:59 GMT 2024","passed","Thu Nov 21 14:04:07 GMT 2024","dev.topklik.online","all.test.js","",""
"","8273","1. Authorization","webkit","Thu Nov 21 14:03:58 GMT 2024","passed","Thu Nov 21 14:04:07 GMT 2024","dev.topklik.online","all.test.js","",""
