"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13162","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 00:31:15 GMT 2024","failed","Thu Nov 21 00:31:28 GMT 2024","dev.topklik.online","all.test.js","",""
"","6881","2. ""Hide tabletop"" test","chromium","Thu Nov 21 00:31:08 GMT 2024","failed","Thu Nov 21 00:31:14 GMT 2024","dev.topklik.online","all.test.js","",""
"","9442","4. E2E test","chromium","Thu Nov 21 00:31:25 GMT 2024","failed","Thu Nov 21 00:31:34 GMT 2024","dev.topklik.online","all.test.js","",""
"","8613","2. ""Hide tabletop"" test","firefox","Thu Nov 21 00:31:15 GMT 2024","failed","Thu Nov 21 00:31:24 GMT 2024","dev.topklik.online","all.test.js","",""
"","7443","1. Authorization","chromium","Thu Nov 21 00:31:07 GMT 2024","passed","Thu Nov 21 00:31:14 GMT 2024","dev.topklik.online","all.test.js","",""
"","14539","4. E2E test","firefox","Thu Nov 21 00:31:15 GMT 2024","failed","Thu Nov 21 00:31:30 GMT 2024","dev.topklik.online","all.test.js","",""
"","8432","1. Authorization","firefox","Thu Nov 21 00:31:13 GMT 2024","failed","Thu Nov 21 00:31:22 GMT 2024","dev.topklik.online","all.test.js","",""
"","12932","4. E2E test","webkit","Thu Nov 21 00:31:14 GMT 2024","failed","Thu Nov 21 00:31:27 GMT 2024","dev.topklik.online","all.test.js","",""
"","16363","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 00:30:51 GMT 2024","passed","Thu Nov 21 00:31:08 GMT 2024","dev.topklik.online","all.test.js","",""
"","11221","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 00:30:51 GMT 2024","passed","Thu Nov 21 00:31:02 GMT 2024","dev.topklik.online","all.test.js","",""
"","7470","2. ""Hide tabletop"" test","webkit","Thu Nov 21 00:31:09 GMT 2024","failed","Thu Nov 21 00:31:16 GMT 2024","dev.topklik.online","all.test.js","",""
"","7743","1. Authorization","webkit","Thu Nov 21 00:31:09 GMT 2024","failed","Thu Nov 21 00:31:16 GMT 2024","dev.topklik.online","all.test.js","",""
