"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8029","2. ""Hide tabletop"" test","webkit","Thu Nov 21 13:55:08 GMT 2024","passed","Thu Nov 21 13:55:16 GMT 2024","dev.topklik.online","all.test.js","",""
"","28021","4. E2E test","webkit","Thu Nov 21 13:56:07 GMT 2024","failed","Thu Nov 21 13:56:35 GMT 2024","dev.topklik.online","all.test.js","",""
"","40019","1. Authorization","firefox","Thu Nov 21 13:53:46 GMT 2024","failed","Thu Nov 21 13:54:26 GMT 2024","dev.topklik.online","all.test.js","",""
"","7096","2. ""Hide tabletop"" test","chromium","Thu Nov 21 13:52:13 GMT 2024","passed","Thu Nov 21 13:52:20 GMT 2024","dev.topklik.online","all.test.js","",""
"","26523","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 13:53:10 GMT 2024","failed","Thu Nov 21 13:53:37 GMT 2024","dev.topklik.online","all.test.js","",""
"","8394","2. ""Hide tabletop"" test","firefox","Thu Nov 21 13:53:38 GMT 2024","passed","Thu Nov 21 13:53:46 GMT 2024","dev.topklik.online","all.test.js","",""
"","28803","4. E2E test","firefox","Thu Nov 21 13:54:40 GMT 2024","failed","Thu Nov 21 13:55:08 GMT 2024","dev.topklik.online","all.test.js","",""
"","28337","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 13:54:40 GMT 2024","failed","Thu Nov 21 13:55:08 GMT 2024","dev.topklik.online","all.test.js","",""
"","40010","1. Authorization","webkit","Thu Nov 21 13:55:11 GMT 2024","failed","Thu Nov 21 13:55:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","26484","4. E2E test","chromium","Thu Nov 21 13:53:10 GMT 2024","failed","Thu Nov 21 13:53:37 GMT 2024","dev.topklik.online","all.test.js","",""
"","7149","1. Authorization","chromium","Thu Nov 21 13:53:35 GMT 2024","passed","Thu Nov 21 13:53:42 GMT 2024","dev.topklik.online","all.test.js","",""
"","28101","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 13:56:06 GMT 2024","failed","Thu Nov 21 13:56:35 GMT 2024","dev.topklik.online","all.test.js","",""
