"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40075","4. E2E test","chromium","Thu Nov 21 02:14:14 GMT 2024","failed","Thu Nov 21 02:14:54 GMT 2024","dev.topklik.online","all.test.js","",""
"","11837","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 02:13:37 GMT 2024","passed","Thu Nov 21 02:13:49 GMT 2024","dev.topklik.online","all.test.js","",""
"","12508","1. Authorization","firefox","Thu Nov 21 02:13:37 GMT 2024","passed","Thu Nov 21 02:13:50 GMT 2024","dev.topklik.online","all.test.js","",""
"","40070","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 02:14:24 GMT 2024","failed","Thu Nov 21 02:15:04 GMT 2024","dev.topklik.online","all.test.js","",""
"","8905","2. ""Hide tabletop"" test","chromium","Thu Nov 21 02:13:37 GMT 2024","passed","Thu Nov 21 02:13:46 GMT 2024","dev.topklik.online","all.test.js","",""
"","40092","2. ""Hide tabletop"" test","webkit","Thu Nov 21 02:14:23 GMT 2024","failed","Thu Nov 21 02:15:04 GMT 2024","dev.topklik.online","all.test.js","",""
"","40296","4. E2E test","firefox","Thu Nov 21 02:14:17 GMT 2024","failed","Thu Nov 21 02:14:57 GMT 2024","dev.topklik.online","all.test.js","",""
"","13255","2. ""Hide tabletop"" test","firefox","Thu Nov 21 02:13:37 GMT 2024","passed","Thu Nov 21 02:13:50 GMT 2024","dev.topklik.online","all.test.js","",""
"","40074","4. E2E test","webkit","Thu Nov 21 02:14:19 GMT 2024","failed","Thu Nov 21 02:14:59 GMT 2024","dev.topklik.online","all.test.js","",""
"","40098","1. Authorization","webkit","Thu Nov 21 02:14:23 GMT 2024","failed","Thu Nov 21 02:15:04 GMT 2024","dev.topklik.online","all.test.js","",""
"","11028","1. Authorization","chromium","Thu Nov 21 02:13:37 GMT 2024","passed","Thu Nov 21 02:13:48 GMT 2024","dev.topklik.online","all.test.js","",""
"","14844","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 02:13:37 GMT 2024","passed","Thu Nov 21 02:13:52 GMT 2024","dev.topklik.online","all.test.js","",""
