"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9230","2. ""Hide tabletop"" test","chromium","Thu Nov 21 13:48:11 GMT 2024","passed","Thu Nov 21 13:48:20 GMT 2024","dev.topklik.online","all.test.js","",""
"","6035","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 13:48:42 GMT 2024","passed","Thu Nov 21 13:48:49 GMT 2024","dev.topklik.online","all.test.js","",""
"","26265","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 13:48:59 GMT 2024","failed","Thu Nov 21 13:49:25 GMT 2024","dev.topklik.online","all.test.js","",""
"","25762","4. E2E test","chromium","Thu Nov 21 13:48:33 GMT 2024","failed","Thu Nov 21 13:48:58 GMT 2024","dev.topklik.online","all.test.js","",""
"","40027","1. Authorization","firefox","Thu Nov 21 13:48:25 GMT 2024","failed","Thu Nov 21 13:49:05 GMT 2024","dev.topklik.online","all.test.js","",""
"","40011","1. Authorization","chromium","Thu Nov 21 13:48:11 GMT 2024","failed","Thu Nov 21 13:48:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","40022","2. ""Hide tabletop"" test","firefox","Thu Nov 21 13:48:49 GMT 2024","broken","Thu Nov 21 13:49:29 GMT 2024","dev.topklik.online","all.test.js","",""
