"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4655","1. Authorization","chromium","Thu Nov 21 00:27:16 GMT 2024","failed","Thu Nov 21 00:27:21 GMT 2024","dev.topklik.online","all.test.js","",""
"","18291","4. E2E test","chromium","Thu Nov 21 00:27:23 GMT 2024","failed","Thu Nov 21 00:27:41 GMT 2024","dev.topklik.online","all.test.js","",""
"","6957","2. ""Hide tabletop"" test","webkit","Thu Nov 21 00:27:39 GMT 2024","failed","Thu Nov 21 00:27:46 GMT 2024","dev.topklik.online","all.test.js","",""
"","10119","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 00:27:45 GMT 2024","failed","Thu Nov 21 00:27:55 GMT 2024","dev.topklik.online","all.test.js","",""
"","12495","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 00:27:38 GMT 2024","failed","Thu Nov 21 00:27:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","6524","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 00:27:22 GMT 2024","passed","Thu Nov 21 00:27:28 GMT 2024","dev.topklik.online","all.test.js","",""
"","5748","2. ""Hide tabletop"" test","chromium","Thu Nov 21 00:27:16 GMT 2024","failed","Thu Nov 21 00:27:22 GMT 2024","dev.topklik.online","all.test.js","",""
"","9324","1. Authorization","firefox","Thu Nov 21 00:27:19 GMT 2024","passed","Thu Nov 21 00:27:29 GMT 2024","dev.topklik.online","all.test.js","",""
"","6716","1. Authorization","webkit","Thu Nov 21 00:27:40 GMT 2024","failed","Thu Nov 21 00:27:46 GMT 2024","dev.topklik.online","all.test.js","",""
"","9782","4. E2E test","webkit","Thu Nov 21 00:27:55 GMT 2024","failed","Thu Nov 21 00:28:05 GMT 2024","dev.topklik.online","all.test.js","",""
"","7819","2. ""Hide tabletop"" test","firefox","Thu Nov 21 00:27:20 GMT 2024","failed","Thu Nov 21 00:27:27 GMT 2024","dev.topklik.online","all.test.js","",""
"","12581","4. E2E test","firefox","Thu Nov 21 00:27:39 GMT 2024","failed","Thu Nov 21 00:27:51 GMT 2024","dev.topklik.online","all.test.js","",""
