"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10646","1. Authorization","chromium","Thu Nov 21 12:29:58 GMT 2024","passed","Thu Nov 21 12:30:09 GMT 2024","dev.topklik.online","all.test.js","",""
"","26427","4. E2E test","chromium","Thu Nov 21 12:30:27 GMT 2024","failed","Thu Nov 21 12:30:53 GMT 2024","dev.topklik.online","all.test.js","",""
"","10917","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 12:29:58 GMT 2024","passed","Thu Nov 21 12:30:09 GMT 2024","dev.topklik.online","all.test.js","",""
"","10715","2. ""Hide tabletop"" test","chromium","Thu Nov 21 12:29:58 GMT 2024","passed","Thu Nov 21 12:30:09 GMT 2024","dev.topklik.online","all.test.js","",""
