"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40117","4. E2E test","chromium","Thu Nov 21 03:04:08 GMT 2024","broken","Thu Nov 21 03:04:48 GMT 2024","dev.topklik.online","all.test.js","",""
"","12543","2. ""Hide tabletop"" test","chromium","Thu Nov 21 03:03:42 GMT 2024","passed","Thu Nov 21 03:03:54 GMT 2024","dev.topklik.online","all.test.js","",""
"","10603","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 03:03:42 GMT 2024","passed","Thu Nov 21 03:03:53 GMT 2024","dev.topklik.online","all.test.js","",""
"","12394","1. Authorization","chromium","Thu Nov 21 03:03:42 GMT 2024","passed","Thu Nov 21 03:03:54 GMT 2024","dev.topklik.online","all.test.js","",""
