"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6965","2. ""Hide tabletop"" test","webkit","Fri Nov 22 00:05:52 GMT 2024","passed","Fri Nov 22 00:05:59 GMT 2024","dev.topklik.online","all.test.js","",""
"","6877","3. Switch ""P-shaped tabletop"" toggle","webkit","Fri Nov 22 00:06:50 GMT 2024","passed","Fri Nov 22 00:06:57 GMT 2024","dev.topklik.online","all.test.js","",""
"","4991","1. Authorization","chromium","Fri Nov 22 00:05:46 GMT 2024","passed","Fri Nov 22 00:05:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","5533","2. ""Hide tabletop"" test","firefox","Fri Nov 22 00:04:43 GMT 2024","passed","Fri Nov 22 00:04:48 GMT 2024","dev.topklik.online","all.test.js","",""
"","8745","1. Authorization","firefox","Fri Nov 22 00:04:33 GMT 2024","passed","Fri Nov 22 00:04:42 GMT 2024","dev.topklik.online","all.test.js","",""
"","25929","4. E2E test","firefox","Fri Nov 22 00:07:38 GMT 2024","failed","Fri Nov 22 00:08:04 GMT 2024","dev.topklik.online","all.test.js","",""
"","6222","1. Authorization","webkit","Fri Nov 22 00:05:52 GMT 2024","passed","Fri Nov 22 00:05:58 GMT 2024","dev.topklik.online","all.test.js","",""
"","24619","4. E2E test","chromium","Fri Nov 22 00:06:06 GMT 2024","failed","Fri Nov 22 00:06:31 GMT 2024","dev.topklik.online","all.test.js","",""
"","40010","4. E2E test","webkit","Fri Nov 22 00:07:31 GMT 2024","failed","Fri Nov 22 00:08:11 GMT 2024","dev.topklik.online","all.test.js","",""
"","5509","2. ""Hide tabletop"" test","chromium","Fri Nov 22 00:05:46 GMT 2024","passed","Fri Nov 22 00:05:51 GMT 2024","dev.topklik.online","all.test.js","",""
"","6647","3. Switch ""P-shaped tabletop"" toggle","firefox","Fri Nov 22 00:05:42 GMT 2024","passed","Fri Nov 22 00:05:49 GMT 2024","dev.topklik.online","all.test.js","",""
"","8641","3. Switch ""P-shaped tabletop"" toggle","chromium","Fri Nov 22 00:04:24 GMT 2024","passed","Fri Nov 22 00:04:32 GMT 2024","dev.topklik.online","all.test.js","",""
