"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15207","4. E2E test","firefox","Thu Nov 21 15:01:56 GMT 2024","failed","Thu Nov 21 15:02:11 GMT 2024","dev.topklik.online","all.test.js","",""
"","7645","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 15:00:45 GMT 2024","passed","Thu Nov 21 15:00:53 GMT 2024","dev.topklik.online","all.test.js","",""
"","8512","1. Authorization","firefox","Thu Nov 21 15:00:53 GMT 2024","passed","Thu Nov 21 15:01:02 GMT 2024","dev.topklik.online","all.test.js","",""
"","7247","2. ""Hide tabletop"" test","chromium","Thu Nov 21 15:00:45 GMT 2024","passed","Thu Nov 21 15:00:52 GMT 2024","dev.topklik.online","all.test.js","",""
"","15595","4. E2E test","webkit","Thu Nov 21 15:02:59 GMT 2024","passed","Thu Nov 21 15:03:15 GMT 2024","dev.topklik.online","all.test.js","",""
"","5111","1. Authorization","webkit","Thu Nov 21 15:02:27 GMT 2024","passed","Thu Nov 21 15:02:32 GMT 2024","dev.topklik.online","all.test.js","",""
"","5694","2. ""Hide tabletop"" test","firefox","Thu Nov 21 15:02:19 GMT 2024","passed","Thu Nov 21 15:02:25 GMT 2024","dev.topklik.online","all.test.js","",""
"","7131","1. Authorization","chromium","Thu Nov 21 15:00:45 GMT 2024","passed","Thu Nov 21 15:00:52 GMT 2024","dev.topklik.online","all.test.js","",""
"","24499","4. E2E test","chromium","Thu Nov 21 15:01:46 GMT 2024","failed","Thu Nov 21 15:02:10 GMT 2024","dev.topklik.online","all.test.js","",""
"","7111","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 15:00:54 GMT 2024","passed","Thu Nov 21 15:01:01 GMT 2024","dev.topklik.online","all.test.js","",""
"","6276","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 15:02:12 GMT 2024","passed","Thu Nov 21 15:02:19 GMT 2024","dev.topklik.online","all.test.js","",""
"","6995","2. ""Hide tabletop"" test","webkit","Thu Nov 21 15:02:11 GMT 2024","passed","Thu Nov 21 15:02:18 GMT 2024","dev.topklik.online","all.test.js","",""
